Objekt,Navn,Type,Formel,UoM,Målernivå
VIS-Måler,Nærvarme 78188541,Varme,EID_942110464_00089,kWh,Forbruksmåler
VIS-Måler,Markaplassen uskole fastkraft 68315246,Fastkraft,707057500068315246,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Lade barneskole,,,,
VIS-Måler,Temperatur VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 284409,Fjernvarme,ESAVE_LaSk_US01_B_H_Eg_Mtr07_CumEg_EAN,kWh,Forbruksmåler
VIS-Måler,Fastkraft,Fastkraft,ESAVE_LaSk_US01_B_E_ElEg_MtrCG_Eg_EAN-ESAVE_LaSk_US01_B_E_ElEg_MtrEg01_LoadB_Eg_EAN,kWh,Forbruksmåler
VIS-Måler,Ladestasjon elmåler,Fastkraft,ESAVE_LaSk_US01_B_E_ElEg_MtrEg01_LoadB_Eg_EAN,kWh,Annen måler
VIS-Måler,Kjeramikk elmåler,Fastkraft,ESAVE_LaSk_US01_B_E_ElEg_MtrEg01_LoadA_Eg_EAN,kWh,Annen måler
VIS-Måler,Varmebatteri ventilasjon garderober,Fjernvarme,ESAVE_LaSk_US01_B_H_Eg_Mtr03_CumEg_EAN,kWh,Annen måler
VIS-Måler,Varmebatteri ventilasjon idrettshall,Fjernvarme,ESAVE_LaSk_US01_B_H_Eg_Mtr04_CumEg_EAN,kWh,Annen måler
VIS-Måler,Radiatorkurs,Fjernvarme,ESAVE_LaSk_US01_B_H_Eg_Mtr01_CumEg_EAN,kWh,Annen måler
VIS-Måler,Gulvkurs skole,Fjernvarme,ESAVE_LaSk_US01_B_H_Eg_Mtr08_CumEg_EAN,kWh,Annen måler
VIS-Måler,Gulvkurs hall,Fjernvarme,ESAVE_LaSk_US01_B_H_Eg_Mtr11_CumEg_EAN,kWh,Annen måler
VIS-Måler,Tappevann skole,Fjernvarme,ESAVE_LaSk_US01_B_H_Eg_Mtr09_CumEg_EAN,kWh,Annen måler
VIS-Måler,Tappevann hall,Fjernvarme,ESAVE_LaSk_US01_B_H_Eg_Mtr10_CumEg_EAN,kWh,Annen måler
VIS-Måler,310.001 SM01 Vann,Vann,ESAVE_LaSk_US01_B_S_Dhw01_MtrW01_EAN,m3,Annen måler
Bygg,Trondheim Kommune - Huseby skole avd. Kolstad,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 66828041,Fjernvarme,ESAVE_175161-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Kolstad b.skole-fastkraft-68614875-timesmålt,Fastkraft,707057500068614875,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Kattem barneskole,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 67225665,Fjernvarme,ESAVE_80889-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Kattem b.skole-fastkraft-68614356 -timesmålt,Fastkraft,707057500068614356,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Ila barneskole,,,,
VIS-Måler,Vann,Vann,ESAVE_942110464_15_ID,m3,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 67255358,Fjernvarme,ESAVE_180304-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Ila b.skole-fastkraft-68612956-timesmålt,Fastkraft,707057500068612956,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Hårstad barneskole,,,,
VIS-Måler,Vann,Vann,ESAVE_942110464_14_ID,m3,Annen måler
VIS-Måler,Temperatur,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Graddager,Graddager,Eklima_68860_GD17,grdg,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 65864378,Fjernvarme,ESAVE_66159-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Hårstad b.skole-fastkraft-68391608-Timesmålt,Fastkraft,707057500068391608,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Huseby skole,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fastkraft 68614844 UTGÅTT,Fastkraft,707057500068614844,kWh,Forbruksmåler
VIS-Måler,Fjernvarme 66586999,Fjernvarme,ESAVE_180320-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Hoeggen ungdomsskole,,,,
VIS-Måler,Vann,Vann,ESAVE_942110464_21_ID,m3,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Hoeggen u.skole-fastkraft-68613359-timesmålt,Fastkraft,707057500068613359,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Hallset barneskole,,,,
VIS-Måler,Vann,Vann,ESAVE_942110464_40_ID,m3,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 66156230,Fjernvarme,ESAVE_129369-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Hallset b.skole-fastkraft-68614721-timesmålt,Fastkraft,707057500068614721,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Flatåsen øvre skole,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 66586998,Fjernvarme,ESAVE_179060-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Fastkraft 40270290,Fastkraft,707057500068615513,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Eberg barneskole,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 68443261,Fjernvarme,ESAVE_102600-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Eberg b.skole-fastkraft-68088737-timesmålt-,Fastkraft,707057500068088737,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Dalgård barneskole,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 68138845,Fjernvarme,ESAVE_228100-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Dalgård b.sk fastkr bygg B C D E F Pav 67866855,Fastkraft,707057500067866855,kWh,Forbruksmåler
VIS-Måler,Dalgård b.skole-fastkraft-byggA-68614455-timesmålt,Fastkraft,707057500068614455,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Charlottenlund ungdomsskole,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 5313222,Fjernvarme,ESAVE_129449-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Charlottenlund u.skole-fastkraft-68695195-timesmål,Fastkraft,707057500068695195,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Charlottenlund barneskole,,,,
VIS-Måler,"FK Hovedbygg uten bygg AB, svømmehall og 4 stk brakker",Fastkraft,707057500068612581-ESAVE_942110464_27315857.1.m_EAN-ESAVE_942110464_27315858.1.m_EAN-ESAVE_942110464_27315859.1.m_EAN-ESAVE_942110464_27315860.1.m_EAN-ESAVE_942110464_27315861.1.m_EAN-ESAVE_942110464_27315862.1.m_EAN-ESAVE_942110464_27315857.1.m_EAN,kWh,Annen måler
VIS-Måler,FK Bygg AB 27315861.1,Fastkraft,ESAVE_942110464_27315861.1.m_EAN,kWh,Annen måler
VIS-Måler,"FK 2. etg brakke 1 Skanska 60, ved pavljong AB 27315858.1",Fastkraft,ESAVE_942110464_27315858.1.m_EAN,kWh,Annen måler
VIS-Måler,"FK 1. etg brakke 1 Skanska 59, ved pavljong AB 27315860",Fastkraft,ESAVE_942110464_27315860.1.m_EAN,kWh,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,FK 2. etg brakke 2 Skanska 13 - 27315862.1,Fastkraft,ESAVE_942110464_27315862.1.m_EAN,kWh,Annen måler
VIS-Måler,FK 1. etg brakke 2 Skanska 12 - 27315857.1,Fastkraft,ESAVE_942110464_27315857.1.m_EAN,kWh,Annen måler
VIS-Måler,FK Svømmehall 27315859.1,Fastkraft,ESAVE_942110464_27315859.1.m_EAN,kWh,Annen måler
VIS-Måler,Fjernvarme 68664458 (Svømmehall),Fjernvarme,ESAVE_284339-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Fjernvarme 66475777,Fjernvarme,ESAVE_134169-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Charlottenlund b.skole-fastkraft-68612581-timesmål,Fastkraft,707057500068612581,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Byåsen barneskole,,,,
VIS-Måler,Bygg F (uten keramikkovn),Ikke valgt,ESAVE_942110464_26772182.1.m_EAN-ESAVE_942110464_26772183.1.m_EAN,Ikke valgt,Annen måler
VIS-Måler,Bygg C (uten keramikkovn),Ikke valgt,707057500068743667-ESAVE_942110464_26772181.1.m_EAN-ESAVE_942110464_20708425.1.m_EAN-ESAVE_942110464_26772182.1.m_EAN-ESAVE_942110464_26772180.1.m_EAN,Ikke valgt,Annen måler
VIS-Måler,Keramikkovn bygg F,Fastkraft,ESAVE_942110464_26772183.1.m_EAN,kWh,Annen måler
VIS-Måler,Bygg F (hele bygget),Fastkraft,ESAVE_942110464_26772182.1.m_EAN,kWh,Annen måler
VIS-Måler, Snøsmelteanlegg,Fastkraft,ESAVE_942110464_26772181.1.m_EAN,kWh,Annen måler
VIS-Måler,Keramikkovn bygg C,Fastkraft,ESAVE_942110464_26772180.1.m_EAN,kWh,Annen måler
VIS-Måler,Bygg A svømmehall,Fastkraft,ESAVE_942110464_20708425.1.m_EAN,kWh,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fastkraft 68743667,Fastkraft,707057500068743667,kWh,Forbruksmåler
VIS-Måler,Fjernvarme 66601961,Fjernvarme,ESAVE_184920-980396002_EAN,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Brundalen barneskole,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 68139685,Fjernvarme,ESAVE_283017-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Fjernvarme 67252840,Fjernvarme,ESAVE_190460-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Brundalen b.skole-fastkraft-68614714-t,Fastkraft,707057500068614714,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Breidablikk barneskole,,,,
VIS-Måler,Vann,Vann,ESAVE_942110464_32_ID,m3,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 68443270,Fjernvarme,ESAVE_70166-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Breidablikk b/u skole-fastkraft-68431670-timesmålt,Fastkraft,707057500068431670,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Bratsberg barneskole,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Bratsberg b.skole-uprioritert-68344192-timesmålt,Fastkraft,707057500068344192,kWh,Forbruksmåler
VIS-Måler,Bratsberg b.skole-fastkraft-68344185-timesmålt,Fastkraft,707057500068344185,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Blussuvoll ungdomskole,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 67066469,Fjernvarme,ESAVE_192601-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Blussuvoll u.skole-fastkraft-68750207-timesmålt,Fastkraft,707057500068750207,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Bispehaugen barneskole,,,,
VIS-Måler,Voll TAX,Temperatur,Eklima_68860_TAX,°C,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fjernvarme 69191683,Fjernvarme,ESAVE_128009-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Bispehaugen b.sk-fastkr(bygg G)-68613090-timesmålt,Fastkraft,707057500068613090,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Berg barneskole,,,,
VIS-Måler,Graddager,Graddager,Eklima_68860_GD17,grdg,Annen måler
VIS-Måler,Tilbygg Kumulert energi,Fjernvarme,ESAVE_BeSk:US01_B_E_Pwr_Mtr01_CumEg_EAN,kWh,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Liten elkjel nybygg,Fastkraft,707057500068563982,kWh,Forbruksmåler
VIS-Måler,Elkjel gammelt bygg,Fastkraft,707057500068973699,kWh,Forbruksmåler
VIS-Måler,Berg b.skole fastkraft,Fastkraft,707057500068614233,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Åsvang (Grønnstein) Barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Åsvang(Grønnstein)bhg-fastkraft-68691296-timesmålt,Fastkraft,707057500068691296,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Åsvang Bergslia barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Åsvang(Bergslia)bhg-fastkraft-68152902-timesmålt,Fastkraft,707057500068152902,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Øvre Jakobsli Barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 67633126,Fjernvarme,ESAVE_280115-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Øvre Jakobsli bhg - fastkraft - 68861835 - timesmå,Fastkraft,707057500068861835,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Østmarkneset barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Østmarkneset barnehage-fastkraft-68267583-Timesmål,Fastkraft,707057500068267583,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Voldsminde barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 65461074,Fjernvarme,ESAVE_89434-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Voldsminde bhg-Fastkraft-68616428-Timesmålt,Fastkraft,707057500068616428,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Vestlia Bjarnehuset barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Vestlia (Bjarnehuset) bhg-fastkraft-68002153-tim,Fastkraft,707057500068002153,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Vestlia Arnehuset barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Vestlia (Arnehuset) bhg-fastkraft-67990000-ti,Fastkraft,707057500067990000,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Vesletun barnehage,,,,
VIS-Måler,Vann,Vann,ESAVE_942110464_12_ID,m3,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Vesletun bhg-fastkraft-68061372-timesmålt,Fastkraft,707057500068061372,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Thyra Torvsletta barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Thyra ( avd.Torvsletta) bhg-fastkraft-68515592-tim,Fastkraft,707057500068515592,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Valset barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Valset bhg-fastkraft-68786800-timesmålt,Fastkraft,707057500068786800,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Valentinlyst barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Valentinlyst bhg-fastkraft-68099450-timesmålt,Fastkraft,707057500068099450,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Kastbrekka barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 67609517,Fjernvarme,ESAVE_234180-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Utleir bhg - fastkraft - 68790470 - timesmålt,Fastkraft,707057500068790470,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Trolla barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trolla bhg-fastkraft-67749240-timesmålt,Fastkraft,707057500067749240,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Tordenskjold barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Tordenskjold bhg-Fastkraft-68094387-Timesmålt,Fastkraft,707057500068094387,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Tonstad barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Tonstad bhg-fastkraft-68406005-timesmålt,Fastkraft,707057500068406005,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Thyra Ustmyra barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Thyra(avd.Ustmyra)bhg-fastkraft-68536337-Timesmålt,Fastkraft,707057500068536337,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Teglverket barnehage (Eberg barnehager),,,,
VIS-Måler,Vann,Vann,ESAVE_942110464_11_ID,m3,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Teglverket bhg-fastkraft-68145904-timesmålt,Fastkraft,707057500068145904,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Sverresli barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Sverresli barnehage-fastkraft-67764410-timesmålt,Fastkraft,707057500067764410,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Sunnland rødthus barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Sunnland bhg-Fastkraft-Rødthus-67927303-Timesmålt,Fastkraft,707057500067927303,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Sunnland gulthus barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Sunnland(gulthus)bhg-fastkraft-67927297-Timesmålt,Fastkraft,707057500067927297,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Stabburet barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 66475708,Fjernvarme,ESAVE_146128-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Stabburet bhg-Fastkraft-68704224-Timesmplt,Fastkraft,707057500068704224,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Spongdal barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Spongdal bhg-Fastkraft-68554652-timesmålt,Fastkraft,707057500068554652,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Spannet barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Spannet bhg - fastkraft - 68264667 - timesmåltt,Fastkraft,707057500068264667,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Singsaker barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Singsaker bhg-fastkraft-68058358-timesmålt,Fastkraft,707057500068058358,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Sollia barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Sollia bhg-fastkraft-68034918-timesmålt,Fastkraft,707057500068034918,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Smidalen barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fastkraft 68736584 UTGÅTT,Fastkraft,707057500068736584,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Skytterveien barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Skytterveien bhg-Fastkraft-68509102-timesmålt,Fastkraft,707057500068509102,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Skjermveien barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Skjermveien bhg-fyrkel-68774258-timesmålt,Fastkraft,707057500068774258,kWh,Forbruksmåler
VIS-Måler,Skjermveien bhg-fastkraft-68774265-timesmålt,Fastkraft,707057500068774265,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Sjetne barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Sjetne bhg-fastkraft-68656769-timesmålt,Fastkraft,707057500068656769,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Selsbakkhøgda barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Selsbakkhøgda bhg-fastkraft-67852025-timesmålt,Fastkraft,707057500067852025,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Saupstad Barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Saupstad barnehage-fastkraft-68781201-timesmålt,Fastkraft,707057500068781201,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Rønningen barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Rønningen bhg-fastkraft-68248193-timesmålt,Fastkraft,707057500068248193,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Rye barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Rye bhg-Uprioritert-68740666-Timesmålt,Fastkraft,707057500068740666,kWh,Forbruksmåler
VIS-Måler,Rye bhg-Fastkrft-68740659-Timesmålt,Fastkraft,707057500068740659,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Romolslia Nybygg barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
